Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
64,Jonathan Kuminga,PF,21,GSW,74,46,26.3,6.2,11.6,.529,0.7,2.2,.321,5.4,9.4,.578,.560,3.0,4.0,.746,1.2,3.6,4.8,2.2,0.7,0.5,1.6,2.3,16.1,kuminjo01
65,Austin Reaves,SG,25,LAL,82,57,32.1,5.6,11.5,.486,1.9,5.1,.367,3.7,6.3,.583,.568,2.8,3.3,.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9,15.9,reaveau01
66,Keldon Johnson,SF,24,SAS,69,27,29.5,5.7,12.5,.454,1.8,5.3,.346,3.8,7.2,.533,.527,2.5,3.2,.792,1.4,4.1,5.5,2.8,0.7,0.3,1.4,2.2,15.7,johnske04
67,Donte DiVincenzo,SG,27,NYK,81,63,29.1,5.5,12.4,.443,3.5,8.7,.401,2.0,3.7,.542,.584,1.1,1.4,.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,2.0,15.5,divindo01
68,Jaden Ivey,SG,21,DET,77,61,28.8,5.4,12.6,.429,1.6,4.8,.336,3.8,7.8,.485,.492,2.9,3.9,.749,1.1,2.3,3.4,3.8,0.7,0.5,2.5,2.6,15.4,iveyja01
69,Malik Monk,SG,25,SAC,72,0,26.0,5.5,12.4,.443,2.1,5.9,.350,3.4,6.5,.528,.526,2.4,2.8,.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,15.4,monkma01
70,Kelly Oubre Jr.,SF,28,PHI,68,52,30.2,5.7,12.9,.441,1.5,4.8,.311,4.2,8.1,.517,.498,2.6,3.4,.750,1.4,3.6,5.0,1.5,1.1,0.7,1.3,2.9,15.4,oubreke01
71,Keegan Murray,SF,23,SAC,77,77,33.6,5.8,12.7,.454,2.4,6.6,.358,3.4,6.0,.560,.548,1.3,1.6,.831,1.4,4.1,5.5,1.7,1.0,0.8,0.8,2.7,15.2,murrake02
72,Derrick White,SG,29,BOS,73,73,32.6,5.3,11.5,.461,2.7,6.8,.396,2.6,4.7,.555,.578,1.9,2.1,.901,0.7,3.5,4.2,5.2,1.0,1.2,1.5,2.1,15.2,whitede01
73,John Collins,PF,26,UTA,68,66,28.0,5.8,11.0,.532,1.3,3.4,.371,4.6,7.6,.605,.590,2.2,2.7,.795,2.3,6.1,8.5,1.1,0.6,0.9,1.4,2.8,15.1,collijo01
74,Deni Avdija,SF,23,WAS,75,75,30.1,5.4,10.7,.506,1.2,3.1,.374,4.2,7.6,.560,.560,2.7,3.6,.740,1.1,6.1,7.2,3.8,0.8,0.5,2.1,2.5,14.7,avdijde01
75,Bennedict Mathurin,SF,21,IND,59,19,26.1,5.0,11.2,.446,1.4,3.6,.374,3.7,7.6,.481,.507,3.1,3.8,.821,1.0,2.9,4.0,2.0,0.6,0.2,1.6,2.0,14.5,mathube01
76,Tim Hardaway Jr.,SF,31,DAL,79,12,26.8,5.0,12.4,.402,2.7,7.6,.353,2.3,4.8,.478,.510,1.8,2.1,.852,0.3,2.9,3.2,1.8,0.5,0.1,0.9,1.3,14.4,hardati02
77,Rudy Gobert,C,31,MIN,76,76,34.1,5.3,8.1,.661,0.0,0.0,.000,5.3,8.0,.664,.661,3.3,5.1,.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14.0,goberru01
78,Scoot Henderson,PG,19,POR,62,32,28.5,5.0,12.9,.385,1.4,4.3,.325,3.5,8.5,.416,.440,2.7,3.3,.819,0.9,2.3,3.1,5.4,0.8,0.2,3.4,3.1,14.0,hendesc01
79,Caris LeVert,SG,29,CLE,68,10,28.8,5.1,12.1,.421,1.6,4.9,.325,3.5,7.2,.486,.487,2.3,3.0,.766,0.6,3.5,4.1,5.1,1.1,0.5,1.7,1.8,14.0,leverca01
80,Dennis Schröder,PG,30,TOT,80,58,31.1,5.0,11.6,.435,1.7,4.6,.375,3.3,7.0,.474,.509,2.2,2.7,.836,0.5,2.5,3.0,6.1,0.8,0.2,1.9,2.1,14.0,schrode01
81,Aaron Gordon,PF,28,DEN,73,73,31.5,5.5,9.8,.556,0.5,1.9,.290,4.9,7.9,.619,.584,2.4,3.7,.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9,gordoaa01
82,Norman Powell,SG,30,LAC,76,3,26.2,4.9,10.1,.486,2.2,5.1,.435,2.7,5.1,.536,.594,1.9,2.3,.831,0.2,2.4,2.6,1.1,0.6,0.3,0.9,1.8,13.9,powelno01
83,Jalen Duren,C,20,DET,61,60,29.1,5.7,9.2,.619,0.0,0.1,.000,5.7,9.2,.623,.619,2.3,3.0,.790,3.1,8.5,11.6,2.4,0.5,0.8,2.1,3.1,13.8,durenja01
84,Bobby Portis,PF,28,MIL,82,4,24.5,5.7,11.2,.508,1.2,3.0,.407,4.5,8.2,.545,.562,1.2,1.5,.790,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3,13.8,portibo01
85,Saddiq Bey,SF,24,ATL,63,51,32.7,4.6,11.1,.416,1.8,5.7,.316,2.8,5.4,.522,.497,2.7,3.2,.837,2.7,3.9,6.5,1.5,0.8,0.2,0.9,1.4,13.7,beysa01
86,Jabari Smith Jr.,PF,20,HOU,76,76,31.9,5.0,11.0,.454,1.8,5.0,.363,3.2,6.0,.530,.537,2.0,2.4,.811,1.8,6.3,8.1,1.6,0.7,0.8,1.2,2.6,13.7,smithja05
87,Gary Trent Jr.,SG,25,TOR,71,41,28.1,5.1,11.9,.426,2.5,6.4,.393,2.6,5.5,.464,.531,1.0,1.4,.771,0.4,2.3,2.6,1.7,1.1,0.1,0.7,1.4,13.7,trentga02
88,Rui Hachimura,PF,25,LAL,68,39,26.9,5.3,9.9,.537,1.4,3.4,.422,3.9,6.5,.597,.609,1.5,2.0,.739,0.9,3.5,4.3,1.2,0.6,0.4,0.7,1.5,13.6,hachiru01
89,Grayson Allen,SG,28,PHO,75,74,33.5,4.5,9.1,.499,2.7,5.9,.461,1.8,3.2,.570,.649,1.7,2.0,.878,0.6,3.3,3.9,3.0,0.9,0.6,1.3,2.1,13.5,allengr01
90,Naz Reid,C,24,MIN,81,14,24.2,5.0,10.5,.477,2.1,5.0,.414,2.9,5.5,.535,.576,1.3,1.8,.736,0.9,4.3,5.2,1.3,0.8,0.9,1.4,2.1,13.5,reidna01
91,Cameron Johnson,PF,27,BRK,58,47,27.6,4.8,10.7,.446,2.4,6.1,.391,2.4,4.6,.519,.557,1.5,1.9,.789,0.9,3.4,4.3,2.4,0.8,0.3,1.0,1.8,13.4,johnsca02
92,Corey Kispert,SF,24,WAS,80,22,25.8,4.8,9.9,.486,2.3,6.0,.383,2.5,3.9,.643,.602,1.4,2.0,.726,0.4,2.4,2.8,2.0,0.5,0.2,1.2,1.8,13.4,kispeco01
93,Andrew Wiggins,SF,28,GSW,71,59,27.0,5.0,11.0,.453,1.3,3.6,.358,3.7,7.4,.498,.511,2.0,2.7,.751,1.5,3.0,4.5,1.7,0.6,0.6,1.2,2.1,13.2,wiggian01
94,Keyonte George,PG,20,UTA,75,44,27.0,4.3,10.9,.391,2.0,5.9,.334,2.3,5.0,.459,.482,2.5,3.0,.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,1.2,13.0,georgke01
95,Duncan Robinson,SF,29,MIA,68,36,28.0,4.5,9.9,.450,2.8,7.0,.395,1.7,3.0,.579,.589,1.2,1.3,.889,0.2,2.3,2.5,2.8,0.7,0.2,1.4,2.4,12.9,robindu01
96,P.J. Washington,PF,25,TOT,73,45,30.4,4.8,11.1,.436,1.8,5.7,.320,3.0,5.5,.558,.518,1.4,2.0,.683,1.2,4.5,5.6,1.9,1.0,0.8,1.3,2.3,12.9,washipj01
97,Dillon Brooks,SF,28,HOU,72,72,30.9,4.6,10.7,.428,1.8,5.1,.359,2.7,5.5,.492,.515,1.7,2.0,.844,0.7,2.7,3.4,1.7,0.9,0.1,1.2,3.3,12.7,brookdi01
98,Jalen Suggs,SG,22,ORL,75,75,27.0,4.5,9.5,.471,2.0,5.1,.397,2.4,4.4,.556,.578,1.6,2.1,.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7,12.6,suggsja01
99,Jrue Holiday,PG,33,BOS,69,69,32.8,4.8,10.0,.480,2.0,4.7,.429,2.8,5.3,.526,.581,0.9,1.0,.833,1.2,4.2,5.4,4.8,0.9,0.8,1.8,1.6,12.5,holidjr01
100,Brook Lopez,C,35,MIL,79,79,30.5,4.6,9.6,.485,1.9,5.1,.366,2.8,4.4,.621,.583,1.4,1.7,.821,1.5,3.7,5.2,1.6,0.5,2.4,1.0,2.4,12.5,lopezbr01
